trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.7, 'e': 0.00012913223140495868}",35,16,32.89956683524171,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.00012624668602449185}",25,13,23.389843079314073,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.0001234567901234568}",20,7,24.486405305877256,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.00012075836251660427}",25,9,30.725872354977064,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.7, 'e': 0.00011814744801512288}",30,16,27.93448628697821,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.00011562030292519366}",25,13,22.498533577612324,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.00011317338162064282}",20,5,24.359665641597967,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.7, 'e': 0.00011080332409972299}",20,5,20.73360180423897,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.00010850694444444444}",25,11,20.849588615930383,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.00010628122010840685}",30,17,24.283121974135717,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.00010412328196584757}",30,10,30.237956718992024,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.7, 'e': 0.00010203040506070809}",20,3,35.986351720573154,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.0001}",20,11,10.873035665683993,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.7, 'e': 9.802960494069208e-05}",30,20,22.107239356838086,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.7, 'e': 9.611687812379854e-05}",20,7,18.68623380787216,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 9.425959091337543e-05}",20,14,10.052341673866824,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 9.245562130177515e-05}",20,6,23.716054260835875,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.7, 'e': 9.070294784580499e-05}",25,17,11.851621433732749,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 8.8999644001424e-05}",20,5,18.598416325180086,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 8.734387282732117e-05}",25,12,18.253044801275557,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 8.573388203017832e-05}",20,14,13.774391881714356,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 8.416799932665601e-05}",20,16,7.473942730257399,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.7, 'e': 8.264462809917356e-05}",25,18,11.585000241736074,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 8.116224332440549e-05}",25,0,37.948552159816266,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.7, 'e': 7.971938775510203e-05}",20,6,22.213646542065206,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 7.831466833737959e-05}",30,13,21.53871730698369,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 7.694675284702985e-05}",25,8,26.844054403566915,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 7.561436672967863e-05}",25,10,25.147996496932706,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 7.431629013079666e-05}",20,7,20.394070605763964,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 7.305135510263716e-05}",30,18,24.117743832847502,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 7.181844297615628e-05}",20,14,11.462143093918808,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 7.06164818868724e-05}",30,12,32.39972375078552,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 6.944444444444444e-05}",20,11,15.879170989135575,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 6.830134553650706e-05}",25,15,19.08298450076177,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.7, 'e': 6.718624025799516e-05}",35,20,21.174865700418103,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.7, 'e': 6.609822195782933e-05}",30,12,27.94906384813067,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 6.503642039542144e-05}",30,17,20.666039626427285,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 6.4e-05}",20,8,18.653758859422908,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 6.298815822625347e-05}",20,2,26.57363149058188,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 6.2000124000248e-05}",25,16,14.197248576329404,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 6.103515625e-05}",20,5,27.255823160121164,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 6.009254251547383e-05}",25,14,20.75800173545529,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 5.9171597633136094e-05}",30,22,16.94828202186494,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 5.8271662490530857e-05}",20,12,15.91679381220586,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.7, 'e': 5.73921028466483e-05}",25,11,31.361738013475282,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 5.6532308214144386e-05}",20,6,23.935075448030094,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.7, 'e': 5.569169079973268e-05}",30,24,9.643808790722774,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 5.486968449931413e-05}",25,11,27.844156907037593,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 5.406574394463668e-05}",30,19,22.462374686929184,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 5.3279343598486864e-05}",20,16,9.83264594099494,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.7, 'e': 5.250997689561016e-05}",25,7,30.819149906298456,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 5.175715542673774e-05}",25,15,19.766720948974935,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 5.102040816326531e-05}",35,9,41.85929473986416,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.7, 'e': 5.02992807202857e-05}",20,3,26.040842608962947,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 4.959333465582226e-05}",20,6,26.370139495007,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 4.8902146804244705e-05}",25,7,22.2151968077116,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 4.8225308641975306e-05}",30,15,-16.64962869271572,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.7, 'e': 4.756242568370987e-05}",20,16,8.891033783397557,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 4.6913116907487336e-05}",25,2,28.328015452209925,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.7, 'e': 4.627701420704336e-05}",25,3,36.113889203312034,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 4.565376186997809e-05}",35,16,34.31168368989832,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 4.504301608035674e-05}",20,8,24.435550483280753,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 4.4444444444444447e-05}",35,15,36.39480195619639,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.7, 'e': 4.385772553835358e-05}",25,13,21.503671375451162,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 4.3282548476454294e-05}",25,11,21.687753079854495,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 4.2718612499466016e-05}",20,6,16.990902329982454,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.7, 'e': 4.2165626581210996e-05}",20,7,22.30361953480152,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 4.162330905306972e-05}",20,1,35.15699649019032,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 4.10913872452334e-05}",20,13,13.202227133521115,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 4.056959714390036e-05}",20,0,34.69572685944623,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.7, 'e': 4.00576830636116e-05}",25,13,23.416688922275167,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 3.955539733396622e-05}",20,7,28.69321941456649,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.7, 'e': 3.90625e-05}",25,3,29.86203120107641,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 3.8578758535550326e-05}",20,6,21.709796823267464,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.7, 'e': 3.8103947568968146e-05}",20,8,21.82041203513971,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 3.7637848620572846e-05}",25,8,32.80394690008466,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.7, 'e': 3.7180249851279e-05}",25,16,16.825131302674357,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 3.6730945821854914e-05}",20,6,25.325956846458315,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 3.628973726230222e-05}",25,9,29.378672548542603,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
